A,B,C
5.661421517,0.951956168,4.042179473
6.237514952,1.359480251,2.014531674
1.855670681,3.16135928,0.586384528
8.179561455,6.837678642,4.347142153
7.608448446,6.835328702,3.545513192
4.447595844,2.101616494,1.151771302
2.15364976,3.406431059,1.314814421
1.085318143,7.191734278,6.169555593
2.412708174,3.406754818,1.652739404
4.997975326,1.897889226,1.72806317
6.876258086,-0.084032809,4.656192377
6.703034567,0.60111695,5.230656115
0.529957852,8.26587823,6.563280264
1.61577115,9.203884437,6.860553724
7.512744472,1.202106564,3.841578795
8.281644317,4.998768461,4.155011683
1.877305942,2.623131918,0.555242785
2.720636645,2.282068924,1.581581876
1.497743089,8.665924252,7.421586611
1.616326219,3.436160318,1.091671003
-0.970103818,8.892597338,5.788828071
6.512259727,1.407418597,5.182309584
0.640231354,6.673952314,6.586534839
6.829143668,0.972484899,4.905852251
1.51753827,3.34302573,1.529212243
4.797748417,1.631958402,1.818518188
6.486078341,1.057396889,5.320096283
8.701889832,5.823228661,3.021508671
1.784604288,7.98073962,6.737109171
5.858668729,1.844196162,5.544185147
5.925946117,1.706690347,1.32822954
1.94648482,2.482378839,0.723175347
2.617212575,8.104355938,6.101215952
0.680152477,8.151757992,6.164857098
2.241236208,2.888268607,1.357000247
7.949925498,5.396828329,2.775459939
7.856158147,0.81880192,5.246753478
1.58441298,9.976440585,5.435758388
1.968660451,3.47757116,0.507136977
2.312833674,2.571421222,0.464553751
8.294938647,5.68532895,3.022995858
4.891712052,3.915864541,2.179251745
2.395515974,2.545306273,1.701397155
8.842522283,5.968355877,3.545200558
6.497456776,0.838632762,5.825807646
1.603739631,2.942631779,1.252493639
2.419603005,7.399576434,5.133460049
1.265362349,7.417241342,4.561182842
5.597628611,1.545922947,1.1469136
5.349258622,1.864109541,1.424336458
7.884594674,0.407578816,5.380435565
4.578804987,1.602259449,1.158436837
2.070150238,7.973478741,6.118125349
1.000207065,7.990699679,6.672105283
5.875396029,2.224708733,5.967017855
8.157243821,6.825475632,1.811551702
4.790409922,1.988348236,1.81809213
4.428002835,2.07360219,2.974807075
7.794934103,0.225594541,4.422840087
2.166157006,2.625756732,1.775575988
0.592963687,8.686318457,7.105894453
6.78453407,0.412989941,4.379323354
2.375693562,?,1.271680096
9.661398387,6.305548362,3.344033318
1.415660981,3.571411407,1.375966516
7.703508534,6.617358969,0.721165903
2.128775195,2.962777042,0.040614392
2.129941397,3.390911436,0.381524645
8.734653285,4.743599517,2.208297491
0.855481329,7.207580079,6.69203847
8.208539013,5.559755877,2.462701306
8.142160801,4.931724513,3.304158281
2.288536064,2.898477307,1.185572937
6.862473392,0.855898398,4.477395157
8.8523843,5.58616924,4.127477952
7.804674692,6.771269735,3.951576391
8.658536467,6.058654374,1.96803128
1.965397485,9.236130722,7.088657591
7.294066143,1.424795415,6.439580495
6.839315941,-0.147638914,4.725270226
6.585350831,1.086483387,6.367910204
7.850502685,5.648215153,4.157582307
8.223974901,5.099608762,4.956601584
2.098430618,3.36923329,1.085684141
1.718137724,2.588889802,1.121843606
1.890449736,3.414702791,-0.105567655
6.240955235,6.35201156,2.598356621
8.607142872,6.224953139,3.083360883
5.176134759,1.186050917,2.279857989
6.081446565,1.435448993,5.930253324
6.877952019,1.157715545,4.74133115
8.842913437,5.240480889,5.105905652
0.890390196,7.911637041,6.62998897
0.735485159,5.996137636,7.63541803
7.86189816,6.70692795,3.521858303
8.472523865,6.886962864,3.656385745
5.467016646,1.66928857,1.50908067
4.781028362,1.4964742,1.373114484
2.432877597,2.399851796,0.832749382
5.140271547,1.066462612,2.198528139
5.220372388,3.102910206,1.865920411
0.241504665,7.769599286,6.075766856
6.384129953,2.390942778,4.628320372
7.176568277,0.91863967,5.150299228
1.807343202,3.056758673,1.331065337
7.135875342,0.628149994,5.338713656
2.192507512,6.221412416,7.319651826
1.677440123,3.180697803,1.769018283
2.093227157,2.669106768,1.426216667
2.518769972,2.744991801,0.865062532
2.95470832,2.300716213,1.281484618
7.625839039,6.277203105,2.962463537
6.214218636,0.357748025,5.712363027
4.911438448,1.720378099,1.04317816
1.267126651,8.508725023,5.418809298
4.584547412,1.156209522,1.950136656
0.491036374,7.974425688,5.230924095
2.140495934,2.68865024,0.895938875
5.110808184,1.191724226,1.417031577
0.60798736,9.059936384,7.61700595
5.144451908,3.561009869,2.339305787
7.16758315,1.349779577,5.33040159
6.804781624,1.59161058,4.965771972
1.040919175,6.997812544,7.740824345
